stop_point_id,name,latitude,longitude,local_ref,wheelchair,shelter
n7051905154,Marché Anono,5.3445751,-3.9724706,,,
n7051905155,Marché,5.3452895,-3.9744008,,,
n7051905157,Marché Anono,5.34455,-3.9724521,,,
n7051905160,Au Lavage,5.3500924,-3.9778259,,,
n7051905161,A la Mosquée,5.3510311,-3.9809205,,,
n7051905162,Carrefour CHU,5.349577,-3.9905101,,,
n7051905163,Gare Anono,5.3497766,-4.0228461,,,
n7052162358,École de Police,5.3501191,-3.989405,,,
n7052162359,Carrefour Saint Michel,5.3454176,-4.0226577,,,
n7052162360,A La Caisse,5.3418391,-4.0216117,,,
n7052162361,Akouédo,5.3673438,-3.9457347,,,
n7052162362,Playce Palmeraie,5.3719142,-3.9324155,,,
n7052162363,Nouveau Goudron,5.3728529,-3.9287925,,,
n7052162364,Kessé,5.3743603,-3.9122875,,,
n7052162365,CIE,5.3602229,-3.8981583,,,
n7052162366,Station Texaco,5.3613609,-3.8947412,,,
n7052162367,Collège Moderne,5.3575885,-3.8882764,,,
n7052162369,Carrefour Bangui,5.3573081,-3.8845441,,,
n7052162370,Gare Carrefour Bangui,5.357718,-3.8843443,,,
n7052162371,Carrefour Bangui,5.3571933,-3.8844985,,,
n7052162372,Collège Moderne,5.3574283,-3.887693,,,
n7052162373,Faya,5.3703106,-3.9374359,,,
n7052162375,Gare en haut,5.350286,-4.0224532,,,
n7052340401,Clinique Fraternité,5.3493033,-4.0218316,,,
n7052340402,Escalier,5.3548993,-4.0042631,,,
n7052340403,Vallon-1er Pont,5.3546376,-3.9904813,,,
n7052340404,Gare en haut,5.3504162,-4.0227482,,,
n7052340405,M'Pouto,5.3271876,-3.9542839,,,
n7052340406,M'Pouto,5.3271989,-3.9543486,,,
n7052340407,A l'Arrêt,5.3310206,-3.9579682,,,
n7052340408,Banny,5.3347781,-3.9557567,,,
n7052340409,Maison Blanche,5.337175,-3.9537035,,,
n7052340410,Mel Théodore,5.3452694,-3.952691,,,
n7052340411,Carrefour Lycée Français,5.3508856,-3.9545229,,,
n7052340412,Cap Nord,5.3564619,-3.9676865,,,
n7052340415,Gare en haut,5.3503214,-4.0226343,,,
n7052366500,Adjamé Texaco,5.3543439,-4.0177533,,,
n7052366501,Adjamé Liberté,5.353538,-4.0145789,,,
n7052366502,Station Shell,5.3635436,-4.0256001,,,
n7052366503,Pont Ferrail,5.3644813,-4.0288018,,,
n7052366504,Institut des aveugles,5.353767,-4.064189,,,
n7052366505,Complexe,5.3410046,-4.062227,,,
n7052366506,Carrefour Bicici,5.3381504,-4.0622612,,,
n7052366507,Nouveau bureau,5.3372905,-4.0622391,,,
n7052366509,Yopougon Kowëit,5.3222141,-4.0542723,,,
n7052366510,Yopougon Kowëit,5.3221811,-4.0547359,,,
n7052366511,Ghandi,5.3243801,-4.0599163,,,
n7052366512,Après le feu,5.3279734,-4.0607867,,,
n7052366513,Carrefour sapeur-pompier,5.3287946,-4.0611273,,,
n7052366514,Pharmacie Garage,5.3328513,-4.0623853,,,
n7052366515,Brésil,5.3352972,-4.0623149,,,
n7052366516,5 étoiles,5.336739,-4.0623618,,,
n7052366517,Coup d'oeil,5.3389242,-4.0623685,,,
n7052366518,Boulagerie T7 Blé,5.3402167,-4.0623544,,,
n7052366519,Complexe,5.341289,-4.0623383,,,
n7052366520,Menuiserie,5.3437319,-4.063367,,,
n7052366521,Centre Commercial,5.3451185,-4.0634467,,,
n7052366522,Bel Air,5.3473378,-4.0634152,,,
n7052366523,Institut des aveugles,5.3524365,-4.0636855,,,
n7052366525,Adjamé Texaco,5.3545094,-4.0179776,,,
n7052994961,9 Kilo,5.3575504,-3.9655883,,,
n7052994962,Chez Momo,5.3538255,-3.9553626,,,
n7052994963,Gare en haut,5.3504159,-4.0228876,,,
n7052994964,Akouédo,5.3484325,-3.9409667,,,
n7052994965,Residence Axa,5.3514052,-3.9420924,,,
n7052994966,Pharmacie,5.3536652,-3.9409302,,,
n7052994967,Marché,5.3555925,-3.9407426,,,
n7052994968,Carrefour Village,5.3603993,-3.9399876,,,
n7052994969,Garage,5.3594329,-3.9413817,,,
n7052994970,Ancien Camp Akouedo,5.3574386,-3.9463048,,,
n7052994971,Rond Point,5.3584115,-3.9500902,,,
n7052994973,Gare en haut,5.3505274,-4.0229766,,,
n7054593049,Grand Carrefour de Treichville,5.2987194,-4.0014656,,,
n7054593050,Feux Collège Autoroute,5.2998985,-3.9982536,,,
n7054593051,Solibra,5.3004494,-3.9967114,,,
n7054593052,Grand Carrefour de Marcory,5.3006443,-3.9893769,,,
n7054593053,Cap Sud,5.2985331,-3.9856721,,,
n7054593054,Échangeur Marcory,5.2957328,-3.9806651,,,
n7054593055,Hotel Ibis Marcory,5.2915518,-3.9731053,,,
n7054593056,Grand Carrefour de Koumassi,5.2863103,-3.9700744,,,
n7054593057,Camp commando de Koumassi,5.2821639,-3.9691208,,,
n7054593058,Ancien Koumassi,5.2760791,-3.9660276,,,
n7054593059,Carrefour Mosquée,5.2593053,-3.958447,,,
n7054593060,43ème Bima,5.2565175,-3.9573392,,,
n7054593061,Port-Bouët Phare,5.2511455,-3.9553222,,,
n7054593062,Carrefour Aéroport,5.2470683,-3.9447315,,,
n7054593063,Mosquée Sylla,5.2418205,-3.9118691,,,
n7054593064,Casier,5.242513,-3.9161177,,,
n7054593065,Jean folly,5.2412776,-3.9084828,,,
n7054593066,Corridor,5.239452,-3.8968273,,,
n7054593068,Corridor,5.239249,-3.8965698,,,
n7054593069,Terre rouge,5.2397004,-3.8998461,,,
n7054593070,Mosquée Sylla,5.2416175,-3.9120106,,,
n7054593071,Casier,5.2423247,-3.9165281,,,
n7054593072,Carrefour Aéroport - Après le pont,5.246864,-3.9446484,,,
n7054593073,Akwaba - Rond-Point,5.2667851,-3.9614162,,,
n7054593074,Akwaba - Station Total,5.2690216,-3.9621313,,,
n7054593075,Grand Carrefour de Koumassi - Après le feu,5.2862983,-3.9702836,,,
n7054593076,Grand Carrefour de Koumassi - Avant le feu,5.2888222,-3.9709514,,,
n7054593077,Grand Carrefour de Marcory,5.2999966,-3.9887989,,,
n7054593081,Gare de Bassam,5.2994752,-4.0026612,,,
n7054787049,Siporex après le feu,5.3547164,-4.0741669,,,
n7054787050,Yopougon Palais,5.3275194,-4.0768819,,,
n7054787051,Kouté Terminus 40,5.330849,-4.074128,,,
n7054787052,Saguidiba,5.3324467,-4.073444,,,
n7054787053,L'antenne,5.3334922,-4.0734789,,,
n7054787054,Mosquée,5.335172,-4.073448,,,
n7054787055,16ème,5.3377208,-4.0733823,,,
n7054787056,Score,5.3404604,-4.0734051,,,
n7054787057,Saint André,5.3431871,-4.0734266,,,
n7054787058,Keneya après le feu,5.3461828,-4.0734024,,,
n7054787059,Keneya,5.3468143,-4.0733783,,,
n7054787060,La Poste,5.3522047,-4.0739724,,,
n7054787061,Siporex,5.3568288,-4.0741628,,,
n7054787062,Pont piéton,5.3601442,-4.0731409,,,
n7054787063,Premier pont,5.3609066,-4.0672085,,,
n7054787064,Pont Ferrail,5.3642968,-4.0306333,,,
n7054787065,Mirador,5.3570214,-4.0257033,,,
n7054787067,Renault,5.3567139,-4.0243931,,,
n7054787069,Renault,5.3566011,-4.0244374,,,
n7054787070,Ran,5.3573903,-4.0275842,,,
n7054787071,En bas du pont,5.3607397,-4.028218,,,
n7054787072,Wangler,5.3627158,-4.0292184,,,
n7054787073,Siporex après le feu,5.3561658,-4.0740167,,,
n7054787074,Siporex au feux,5.3553927,-4.0740153,,,
n7054787075,Siporex,5.3547952,-4.0740033,,,
n7054787076,Saint André,5.3433827,-4.0732482,,,
n7054787077,Foyer des Jeunes,5.3342854,-4.07333,,,
n7054787078,Saguidiba,5.3320274,-4.0733314,,,
n7054787079,Kouté Terminus 40,5.3307989,-4.0740274,,,
n7054787080,Yopougon Palais,5.327506,-4.0767995,,,
n7054917910,Niangon Sud à Gauche,5.3161184,-4.0900737,,,
n7054917911,Collège Gloris,5.3173936,-4.0886039,,,
n7054917912,Carrefour Depôt,5.3200176,-4.0887192,,,
n7054917913,Carrefour Timotel,5.3211459,-4.0882632,,,
n7054917914,Akadjoba,5.3244175,-4.080462,,,
n7054917915,Cosmos Yopougon,5.3487652,-4.0734239,,,
n7054917916,Gabriel Gare,5.3558587,-4.0715101,,,
n7054917917,Sable,5.3560583,-4.0670134,,,
n7054917918,Premier pont,5.3603942,-4.0669081,,,
n7054917919,Adjamé Renault,5.3558654,-4.020917,,,
n7054917922,Ficgayo,5.3501558,-4.0732348,,,
n7054917923,Keneya,5.3464872,-4.0732536,,,
n7054917924,Lavage,5.3402595,-4.0732616,,,
n7054917925,Carrefour Timotel,5.3210711,-4.0881318,,,
n7054917926,Niangon Sud à Gauche,5.3163785,-4.0891969,,,
n7054999100,Ibis Marcory,5.2922114,-3.9740923,,,
n7054999103,SICOMEX Marcory,5.2924331,-3.9752094,,,
n7054999104,Échangeur Marcory,5.296287,-3.9820196,,,
n7054999105,Siège de Orange Côte d'Ivoire,5.2978587,-3.9849244,,,
n7054999106,Cap Sud,5.2993537,-3.9875966,,,
n7054999108,Adjamé Liberté,5.3527876,-4.0145963,,,
n7055147054,Pont piéton,5.359793,-4.0716402,,,
n7055147055,L'antenne,5.3334014,-4.0732871,,,
n7055147056,Carrefour Express,5.3294603,-4.0754168,,,
n7055147057,Yopougon Palais,5.3261567,-4.0771924,,,
n7055147058,Ficgayo,5.3509336,-4.0734722,,,
n7055147059,Siporex,5.3557716,-4.0735272,,,
n7055147060,En bas du pont,5.3604967,-4.0276406,,,
n7055147061,Adjamé Texaco,5.3540868,-4.0177184,,,
n7055596701,Pont piéton,5.3615088,-4.0227342,,,
n7055596703,Bel Air,5.346558,-4.0632784,,,
n7055596704,Carrefour sapeur-pompier,5.3283313,-4.0608108,,,
n7055596705,Carrefour Gandhi,5.3241945,-4.0597688,,,
n7055596706,Yopougon camp militaire,5.3197051,-4.0616222,,,
n7055596707,Yopougon camp militaire,5.3196904,-4.0617268,,,
n7055596709,Église catholique Sainte Marie,5.3210872,-4.0622967,,,
n7055596710,Carrefour Gandhi,5.3241978,-4.0599223,,,
n7055596711,Carrefour sapeur-pompier,5.3289148,-4.0606928,,,
n7055596712,Centre de santé B.A.E,5.3305786,-4.0568438,,,
n7055596713,La Poste,5.3342053,-4.0550801,,,
n7055596714,Carrefour Lama Fofana,5.337685,-4.0551138,,,
n7055596715,Carrefour Marché,5.3397387,-4.0576699,,,
n7055596716,Pharmacie les Béatitudes,5.3404714,-4.0586778,,,
n7055596717,Hôtel,5.341791,-4.0548255,,,
n7055596718,Sibeco,5.3415507,-4.0463094,,,
n7055596719,1er Terrain,5.3527389,-4.0456362,,,
n7055596720,Adjamé Texaco,5.3545669,-4.0181838,,,
n7055696176,Carrefour Académie,5.3242799,-4.1065625,,,
n7055696177,Carrefour Super marché,5.3269826,-4.1054173,,,
n7055696178,Lubafrique,5.3297734,-4.103749,,,
n7055696179,Ancien terminus,5.3286184,-4.1009715,,,
n7055696180,Carrefour Marché,5.327928,-4.0983658,,,
n7055696181,Église Sainte-Rita,5.3276115,-4.0966304,,,
n7055696182,Carrefour Texaco - Saguidiba,5.3268395,-4.0918225,,,
n7055696183,Pharmacie Roxanne,5.3391843,-4.0892468,,,
n7055696184,Carrefour Niangon,5.3469185,-4.0892637,,,
n7055717185,Carrefour B.A.E,5.3619681,-4.084437,,,
n7055717187,Gesco BATIM,5.3648682,-4.0956353,,,
n7055717188,Boulagerie,5.3626751,-4.0988465,,,
n7055717189,Boutique,5.361169,-4.1001937,,,
n7055717190,Rond-point de Gesco,5.3591257,-4.1010679,,,
n7055717191,Pharmacie Alicia,5.3514577,-4.1039213,,,
n7055717192,Carrefour Sorbonne,5.3508834,-4.0993914,,,
n7055717193,Carrefour petit canari,5.3436885,-4.1003834,,,
n7055717194,Carrefour Anador,5.3356127,-4.1014852,,,
n7055717195,Lubafrique,5.3300979,-4.1040306,,,
n7055717196,Carrefour Académie,5.3239214,-4.1066156,,,
n7056143583,Petro Ivoire 7è Tranche,5.3809122,-3.9878869,,,
n7056143584,Complexe Sportif Angré,5.3977447,-3.9858967,,,
n7056198867,Jules ferry,5.3643355,-3.9792247,,,
n7056198868,Attoban camp,5.370611,-3.9761945,,,
n7056198869,Ong Joie de vivre,5.3667376,-3.9794621,,,
n7056202785,Rue Lamine,5.3954656,-3.9861703,,,
n7056202786,Côte d'Ivoire Télécom,5.3879726,-3.9870822,,,
n7056202787,Commisariat 30è Art.,5.3740465,-3.9846173,,,
n7056202789,Riviera 2,5.353759,-3.9778085,,,
n7056202790,Clinique Médicale Sainte-Philomène,5.3569076,-3.9789565,,,
n7056202791,Hôtel Manhatan,5.361908,-3.9788693,,,
n7056202792,Église Saint Bernard,5.3693426,-3.9806268,,,
n7056202793,Commisariat 30è Art.,5.3735592,-3.9843625,,,
n7056202794,Côte d'Ivoire Télécom,5.3876602,-3.9872687,,,
n7056202795,Rue Lamine,5.3953414,-3.9863406,,,
n7056202797,Termunis 81/82,5.4028717,-3.9853992,,,
n7056202798,Terminus 705 Angre,5.4032849,-3.9852449,,,
n7056202800,Riviera 2,5.3538358,-3.9777998,,,
n7056217830,Riviera 2,5.3538378,-3.9775175,,,
n7056217831,Angré 22ème,5.3980238,-3.9905188,,,
n7056217832,Angré 22ème,5.3980298,-3.9905684,,,
n7056217834,Carrefour Bluethooth,5.3941384,-3.98635,,,
n7056274249,Gabriel Gare,5.3563174,-4.0717421,,,
n7056274250,Sicomex,5.3577741,-4.0741675,,,
n7056274251,Micao,5.3826599,-4.0947756,,,
n7056274253,Micao,5.3826332,-4.0946871,,,
n7056274254,Pharmacie Micao,5.3810256,-4.0955186,,,
n7056274255,Carrefour Gargill,5.3768899,-4.0946435,,,
n7056274256,Gabriel Gare,5.3562386,-4.0717945,,,
n7056277272,Gare de Bassam,5.2981499,-4.0031198,,,
n7056277274,Gare bateau-bus,5.3089927,-4.0169063,,,
n7056277275,Gare bateau-bus,5.3091966,-4.0166887,,,
n7056277277,Gare de Bassam,5.2983743,-4.0029929,,,
n7056562832,Garage en Haut,5.3653423,-4.0295215,,,
n7056562833,Cissé 1er,5.3811191,-4.0237091,,,
n7056562834,Lavage,5.3844945,-4.0218383,,,no
n7056562835,Express,5.3999911,-4.0204348,,,
n7056562836,Plaque Anador,5.4068598,-4.0166858,,,
n7056562837,Anador,5.4090694,-4.0162446,,,
